# t_myr=4000.000000
index,depth_m
0,5999.3228
1,2599.3228
2,2600
3,6000
4,4165.2476
5,2600
6,2600
7,4811.994
8,3955.5442
9,2599.9426
10,3382.6238
11,2599.947
12,2600
13,2600
14,2600
15,2600
16,2600
17,2600
18,2600
19,2600
20,3382.6238
21,2600
22,2600
23,2600
24,2600
25,2600
26,2600
27,2600
28,3382.6238
29,2600
30,3382.6238
31,2600
32,2600
33,2600
34,2600
35,2600
36,2600
37,2600
38,2600
39,2600
40,2600
41,2600
42,2600
43,2600
44,2600
45,2600
46,2600
47,2600
48,2600
49,2600
50,2600
51,3382.6238
52,2600
53,2600
54,2600
55,2600
56,2600
57,2600
58,2600
59,2600
60,2599.9763
61,3382.6238
62,3706.7385
63,2600
64,2599.829
65,3382.6238
66,3706.6262
67,2600
68,2599.829
69,3382.6238
70,3706.7441
71,3955.5442
72,2599.947
73,2600
74,2599.947
75,2600
76,2600
77,3955.5442
78,2600
79,2600
80,2600
81,3382.6238
82,2600
83,2600
84,2600
85,2600
86,2600
87,2600
88,2600
89,2600
90,2600
91,2600
92,3382.6238
93,2600
94,2600
95,2600
96,2600
97,2600
98,2600
99,2600
100,2600
101,2600
102,3955.5442
103,2600
104,2600
105,2600
106,2600
107,3955.5442
108,2600
109,3382.6238
110,3382.6238
111,3382.6238
112,2600
113,2600
114,2600
115,2600
116,2600
117,3706.797
118,2600
119,2600
120,2600
121,2600
122,2600
123,2600
124,2600
125,2599.947
126,6000
127,3955.5205
128,3955.5442
129,3382.5708
130,3382.6238
131,3706.6262
132,3955.5442
133,2599.947
134,6000
135,2599.947
136,2600
137,5999.947
138,3955.4912
139,2600
140,2600
141,2600
142,2600
143,2600
144,3706.797
145,3382.6238
146,3382.6238
147,2600
148,2600
149,2600
150,3955.5442
151,3382.6238
152,2600
153,2600
154,3706.797
155,3382.6238
156,2600
157,2600
158,2600
159,2600
160,2600
161,2600
162,2600
163,2600
164,2600
165,2600
166,3382.6238
167,2600
168,2600
169,2600
170,2600
171,2600
172,2600
173,3382.6238
174,3706.797
175,2600
176,3382.6238
177,2600
178,2600
179,3706.797
180,2600
181,2600
182,2600
